crimeID,State,Year,CrimeData
1,AK,2015,26198
2,AK,2016,30842
3,AK,2017,32337
4,AK,2018,30865
5,AK,2019,27637
6,AL,2015,167698
7,AL,2016,169248
8,AL,2017,169711
9,AL,2018,163099
10,AL,2019,156179
11,AR,2015,112362
12,AR,2016,114134
13,AR,2017,109160
14,AR,2018,104177
15,AR,2019,103893
16,AZ,2015,235119
17,AZ,2016,239015
18,AZ,2017,240159
19,AZ,2018,226032
20,AZ,2019,210779
21,CA,2015,1191797
22,CA,2016,1176866
23,CA,2017,1164741
24,CA,2018,1118600
25,CA,2019,1095445
26,CO,2015,161651
27,CO,2016,170833
28,CO,2017,172121
29,CO,2018,174787
30,CO,2019,171127
31,CT,2015,72911
32,CT,2016,72787
33,CT,2017,71689
34,CT,2018,67466
35,CT,2019,57408
36,DC,2015,39966
37,DC,2016,40930
38,DC,2017,36703
39,DC,2018,37720
40,DC,2019,38224
41,DE,2015,30175
42,DE,2016,31178
43,DE,2017,27838
44,DE,2018,26578
45,DE,2019,26046
46,FL,2015,663896
47,FL,2016,642512
48,FL,2017,612845
49,FL,2018,567997
50,FL,2019,542116
51,GA,2015,347366
52,GA,2016,350760
53,GA,2017,335556
54,GA,2018,305093
55,GA,2019,288419
56,HI,2015,58547
57,HI,2016,47170
58,HI,2017,43969
59,HI,2018,44304
60,HI,2019,44270
61,IA,2015,72893
62,IA,2016,74501
63,IA,2017,76085
64,IA,2018,61278
65,IA,2019,63109
66,ID,2015,32426
67,ID,2016,33233
68,ID,2017,31967
69,ID,2018,29619
70,ID,2019,25793
71,IL,2015,305083
72,IL,2016,318160
73,IL,2017,313677
74,IL,2018,297754
75,IL,2019,285545
76,IN,2015,197500
77,IN,2016,198604
78,IN,2017,187730
79,IN,2018,171419
80,IN,2019,157660
81,KS,2015,90552
82,KS,2016,89427
83,KS,2017,93623
84,KS,2018,89468
85,KS,2019,79396
86,KY,2015,106038
87,KY,2016,107466
88,KY,2017,104889
89,KY,2018,97162
90,KY,2019,94470
91,LA,2015,181837
92,LA,2016,180888
93,LA,2017,183804
94,LA,2018,177710
95,LA,2019,172530
96,MA,2015,141433
97,MA,2016,132016
98,MA,2017,123135
99,MA,2018,110533
100,MA,2019,103895
101,MD,2015,166510
102,MD,2016,165845
103,MD,2017,164769
104,MD,2018,151184
105,MD,2019,145357
106,ME,2015,26056
107,ME,2016,23560
108,ME,2017,21750
109,ME,2018,19674
110,ME,2019,18291
111,MI,2015,228332
112,MI,2016,235192
113,MI,2017,224144
114,MI,2018,210198
115,MI,2019,201982
116,MN,2015,135303
117,MN,2016,131150
118,MN,2017,135503
119,MN,2018,124243
120,MN,2019,130568
121,MO,2015,203903
122,MO,2016,202193
123,MO,2017,205673
124,MO,2018,192931
125,MO,2019,192326
126,MS,2015,93044
127,MS,2016,91115
128,MS,2017,90107
129,MS,2018,78765
130,MS,2019,78979
131,MT,2015,30711
132,MT,2016,31816
133,MT,2017,31186
134,MT,2018,30492
135,MT,2019,27768
136,NC,2015,311035
137,NC,2016,315534
138,NC,2017,298850
139,NC,2018,298189
140,NC,2019,286231
141,ND,2015,17832
142,ND,2016,19305
143,ND,2017,18727
144,ND,2018,17640
145,ND,2019,17235
146,NE,2015,47707
147,NE,2016,48713
148,NE,2017,49536
149,NE,2018,45620
150,NE,2019,45270
151,NH,2015,25881
152,NH,2016,22831
153,NH,2017,21223
154,NH,2018,19284
155,NH,2019,18516
156,NJ,2015,168580
157,NJ,2016,160066
158,NJ,2017,160690
159,NJ,2018,143693
160,NJ,2019,137012
161,NM,2015,90775
162,NM,2016,96550
163,NM,2017,98665
164,NM,2018,89606
165,NM,2019,82719
166,NV,2015,97255
167,NV,2016,95983
168,NV,2017,94989
169,NV,2018,90405
170,NV,2019,86735
171,NY,2015,392694
172,NY,2016,379466
173,NY,2017,371354
174,NY,2018,350002
175,NY,2019,336919
176,OH,2015,334423
177,OH,2016,334234
178,OH,2017,316717
179,OH,2018,287219
180,OH,2019,274560
181,OK,2015,129384
182,OK,2016,134685
183,OK,2017,131000
184,OK,2018,131744
185,OK,2019,129673
186,OR,2015,129187
187,OR,2016,132175
188,OR,2017,135396
189,OR,2018,133244
190,OR,2019,127165
191,PA,2015,272424
192,PA,2016,263242
193,PA,2017,251340
194,PA,2018,230008
195,PA,2019,218893
196,RI,2015,22605
197,RI,2016,22582
198,RI,2017,21021
199,RI,2018,19878
200,RI,2019,18601
201,SC,2015,185945
202,SC,2016,185824
203,SC,2017,186007
204,SC,2018,178246
205,SC,2019,177712
206,SD,2015,19969
207,SD,2016,20762
208,SD,2017,20088
209,SD,2018,18821
210,SD,2019,19197
211,TN,2015,234196
212,TN,2016,231932
213,TN,2017,241243
214,TN,2018,233505
215,TN,2019,221800
216,TX,2015,890966
217,TX,2016,889989
218,TX,2017,849566
219,TX,2018,797357
220,TX,2019,814678
221,UT,2015,96349
222,UT,2016,97465
223,UT,2017,93648
224,UT,2018,82524
225,UT,2019,77099
226,VA,2015,172869
227,VA,2016,174714
228,VA,2017,169487
229,VA,2018,158917
230,VA,2019,157966
231,VT,2015,9545
232,VT,2016,11591
233,VT,2017,9994
234,VT,2018,9113
235,VT,2019,10150
236,WA,2015,268763
237,WA,2016,276676
238,WA,2017,257575
239,WA,2018,245483
240,WA,2019,226601
241,WI,2015,131571
242,WI,2016,129399
243,WI,2017,123341
244,WI,2018,107862
245,WI,2019,102742
246,WV,2015,43482
247,WV,2016,44044
248,WV,2017,39998
249,WV,2018,32063
250,WV,2019,34050
251,WY,2015,12453
252,WY,2016,12890
253,WY,2017,11980
254,WY,2018,11539
255,WY,2019,10351
