drugID,State,Year,DataValue
1,AK,2015,1472
2,AK,2016,1594
3,AK,2017,1571
4,AK,2018,1442
5,AK,2019,1544
6,AL,2015,8818
7,AL,2016,8324
8,AL,2017,9551
9,AL,2018,9198
10,AL,2019,8643
11,AR,2015,4616
12,AR,2016,4513
13,AR,2017,4775
14,AR,2018,5286
15,AR,2019,4739
16,AZ,2015,14590
17,AZ,2016,16403
18,AZ,2017,17552
19,AZ,2018,19683
20,AZ,2019,21988
21,CA,2015,56001
22,CA,2016,57154
23,CA,2017,58406
24,CA,2018,63121
25,CA,2019,70935
26,CO,2015,11091
27,CO,2016,11137
28,CO,2017,12046
29,CO,2018,12402
30,CO,2019,12262
31,CT,2015,8451
32,CT,2016,10776
33,CT,2017,12594
34,CT,2018,12822
35,CT,2019,13631
36,DC,2015,1447
37,DC,2016,2586
38,DC,2017,4369
39,DC,2018,3610
40,DC,2019,3800
41,DE,2015,2391
42,DE,2016,2724
43,DE,2017,3866
44,DE,2018,4462
45,DE,2019,4905
46,FL,2015,36892
47,FL,2016,48380
48,FL,2017,65444
49,FL,2018,61872
50,FL,2019,61701
51,GA,2015,15499
52,GA,2016,15538
53,GA,2017,17723
54,GA,2018,17255
55,GA,2019,16503
56,HI,2015,1884
57,HI,2016,2294
58,HI,2017,2312
59,HI,2018,2604
60,HI,2019,2750
61,IA,2015,3471
62,IA,2016,3725
63,IA,2017,3983
64,IA,2018,3681
65,IA,2019,3615
66,ID,2015,2570
67,ID,2016,2623
68,ID,2017,2807
69,ID,2018,2798
70,ID,2019,3060
71,IL,2015,21218
72,IL,2016,26227
73,IL,2017,31024
74,IL,2018,33526
75,IL,2019,31908
76,IN,2015,14427
77,IN,2016,16365
78,IN,2017,20889
79,IN,2018,20276
80,IN,2019,19546
81,KS,2015,3926
82,KS,2016,3774
83,KS,2017,3771
84,KS,2018,4045
85,KS,2019,4433
86,KY,2015,14286
87,KY,2016,16155
88,KY,2017,18737
89,KY,2018,16868
90,KY,2019,15953
91,LA,2015,9800
92,LA,2016,11393
93,LA,2017,12344
94,LA,2018,14199
95,LA,2019,14106
96,MA,2015,17638
97,MA,2016,23951
98,MA,2017,25670
99,MA,2018,26808
100,MA,2019,26280
101,MD,2015,14101
102,MD,2016,20291
103,MD,2017,27014
104,MD,2018,28816
105,MD,2019,28002
106,ME,2015,2940
107,ME,2016,3796
108,ME,2017,4494
109,ME,2018,4705
110,ME,2019,3991
111,MI,2015,23417
112,MI,2016,24245
113,MI,2017,31175
114,MI,2018,31993
115,MI,2019,28803
116,MN,2015,6669
117,MN,2016,7668
118,MN,2017,8288
119,MN,2018,8140
120,MN,2019,8585
121,MO,2015,13090
122,MO,2016,14478
123,MO,2017,16847
124,MO,2018,18111
125,MO,2019,19399
126,MS,2015,3907
127,MS,2016,3933
128,MS,2017,3911
129,MS,2018,3767
130,MS,2019,3816
131,MT,2015,1527
132,MT,2016,1477
133,MT,2017,1465
134,MT,2018,1290
135,MT,2019,1566
136,NC,2015,17006
137,NC,2016,21361
138,NC,2017,26214
139,NC,2018,27332
140,NC,2019,27258
141,ND,2015,799
142,ND,2016,828
143,ND,2017,950
144,ND,2018,879
145,ND,2019,951
146,NE,2015,1547
147,NE,2016,1425
148,NE,2017,1512
149,NE,2018,1861
150,NE,2019,1747
151,NH,2015,4896
152,NH,2016,5256
153,NH,2017,5524
154,NH,2018,5514
155,NH,2019,5015
156,NJ,2015,15849
157,NJ,2016,20055
158,NJ,2017,28586
159,NJ,2018,32488
160,NJ,2019,33118
161,NM,2015,6291
162,NM,2016,5881
163,NM,2017,6036
164,NM,2018,5995
165,NM,2019,6716
166,NV,2015,7342
167,NV,2016,8457
168,NV,2017,8748
169,NV,2018,8849
170,NV,2019,8917
171,NY,2015,19990
172,NY,2016,24820
173,NY,2017,28892
174,NY,2018,27236
175,NY,2019,25479
176,OH,2015,36893
177,OH,2016,45503
178,OH,2017,60794
179,OH,2018,51571
180,OH,2019,49592
181,OK,2015,8944
182,OK,2016,8913
183,OK,2017,9867
184,OK,2018,8624
185,OK,2019,7467
186,OR,2015,6129
187,OR,2016,6002
188,OR,2017,6199
189,OR,2018,6643
190,OR,2019,6926
191,PA,2015,36077
192,PA,2016,45980
193,PA,2017,64683
194,PA,2018,57391
195,PA,2019,52089
196,RI,2015,3517
197,RI,2016,3978
198,RI,2017,3986
199,RI,2018,3906
200,RI,2019,4052
201,SC,2015,8692
202,SC,2016,9569
203,SC,2017,11678
204,SC,2018,12542
205,SC,2019,13150
206,SD,2015,727
207,SD,2016,809
208,SD,2017,891
209,SD,2018,732
210,SD,2019,882
211,TN,2015,16367
212,TN,2016,18632
213,TN,2017,20761
214,TN,2018,21758
215,TN,2019,23764
216,TX,2015,30794
217,TX,2016,32557
218,TX,2017,34262
219,TX,2018,35934
220,TX,2019,35795
221,UT,2015,7433
222,UT,2016,8333
223,UT,2017,7485
224,UT,2018,7836
225,UT,2019,6984
226,VA,2015,11819
227,VA,2016,14327
228,VA,2017,17070
229,VA,2018,17155
230,VA,2019,17822
231,VT,2015,1094
232,VT,2016,1363
233,VT,2017,1633
234,VT,2018,1614
235,VT,2019,1615
236,WA,2015,12643
237,WA,2016,13830
238,WA,2017,13223
239,WA,2018,14024
240,WA,2019,14446
241,WI,2015,10378
242,WI,2016,11926
243,WI,2017,13577
244,WI,2018,13474
245,WI,2019,13617
246,WV,2015,8230
247,WV,2016,9617
248,WV,2017,11836
249,WV,2018,10965
250,WV,2019,10079
251,WY,2015,1229
252,WY,2016,1138
253,WY,2017,871
254,WY,2018,763
255,WY,2019,797
